run_acc	sample_type	sample_subtype	organism	gold
SRR5665648	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116220
SRR5665809	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116221
SRR5665811	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116222
SRR5674476	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116223
SRR5674536	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116224
SRR5680860	Soil	Peat soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116225
SRR5687767	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119780
SRR5687768	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119781
SRR5688500	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119782
SRR5688572	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119783
SRR5689334	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119784
SRR5689906	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116347
SRR5689907	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116346
SRR5689908	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116348
SRR5689909	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116349
SRR5689928	Rhizosphere	Rhizosphere	Populus deltoides	https://gold.jgi.doe.gov/project?id=Gp0116344
SRR5690242	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119785
SRR5690348	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119786
SRR5690349	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119787
SRR5690554	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119788
SRR5690606	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119789
SRR5690625	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119790
SRR5699024	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0119791
SRR6056495	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0127767
SRR6056496	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0127767
SRR6056499	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0127766
SRR6056501	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0127765
SRR6056502	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0127769
SRR6056503	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0127768
SRR6056504	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0127770
SRR6056506	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0127771
SRR6056512	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0127774
SRR6056513	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0127774
SRR6056514	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0127773
SRR6056515	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0127772
SRR6056522	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0127775
SRR6056553	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0127778
SRR6056554	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0127777
SRR6056556	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0127779
SRR6056557	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0127776
SRR6214544	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0056917
SRR6435859	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177595
SRR6435862	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177596
SRR6435880	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177601
SRR6435881	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177602
SRR6435882	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177598
SRR6435883	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177597
SRR6435884	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177603
SRR6435886	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177599
SRR6435887	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177600
SRR6435946	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177608
SRR6435947	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177605
SRR6435948	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177606
SRR6435949	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177607
SRR6435951	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177609
SRR6435952	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177612
SRR6435953	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177613
SRR6435954	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177614
SRR6435955	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177611
SRR6435956	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177610
SRR6435958	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177618
SRR6435959	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177619
SRR6435960	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177621
SRR6435961	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177617
SRR6435962	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177616
SRR6435963	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177620
SRR6435964	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177615
SRR6435982	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177622
SRR6435983	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177623
SRR6435984	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177624
SRR6436009	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177633
SRR6436014	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177630
SRR6436015	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177626
SRR6436016	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177629
SRR6436017	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177628
SRR6436018	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177631
SRR6436019	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177632
SRR6436020	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177627
SRR6436021	Rhizosphere	Rhizosphere	Arabidopsis thaliana	https://gold.jgi.doe.gov/project?id=Gp0177625
SRR6436041	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177636
SRR6436042	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177635
SRR6436043	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177634
SRR6436044	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177637
SRR6436057	Soil	Misc.	NA	https://gold.jgi.doe.gov/project?id=Gp0177638
SRR6489859	Rhizosphere	Rhizosphere	 Sorghum bicolor	https://gold.jgi.doe.gov/project?id=Gp0208555
SRR6489884	Rhizosphere	Rhizosphere	 Sorghum bicolor	https://gold.jgi.doe.gov/project?id=Gp0208556
SRR6490015	Rhizosphere	Rhizosphere	 Sorghum bicolor	https://gold.jgi.doe.gov/project?id=Gp0208557
SRR6490096	Rhizosphere	Rhizosphere	 Sorghum bicolor	https://gold.jgi.doe.gov/project?id=Gp0208558
SRR6956985	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0177537
SRR6957156	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0177539
SRR6957160	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0177545
SRR6957162	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0177541
SRR6957165	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0177540
SRR6957362	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0177547
SRR6957363	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0191379
SRR6958124	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215196
SRR6958471	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215198
SRR6958472	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215202
SRR6958474	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215205
SRR6958475	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215201
SRR6958482	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215206
SRR6958483	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215203
SRR6958552	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215207
SRR7010302	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0217509
SRR7010303	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0217509
SRR7010524	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0217510
SRR7010525	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0217510
SRR7010528	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0217511
SRR7013836	Soil	Misc.	NA	NA
SRR7013837	Soil	Misc.	NA	NA
SRR7013838	Soil	Misc.	NA	NA
SRR7013839	Soil	Misc.	NA	NA
SRR7013840	Soil	Misc.	NA	NA
SRR7013841	Soil	Misc.	NA	NA
SRR7013842	Soil	Misc.	NA	NA
SRR7013843	Soil	Misc.	NA	NA
SRR7013844	Soil	Misc.	NA	NA
SRR7013845	Soil	Misc.	NA	NA
SRR7013846	Soil	Misc.	NA	NA
SRR7013847	Soil	Misc.	NA	NA
SRR7013848	Soil	Misc.	NA	NA
SRR7013849	Soil	Misc.	NA	NA
SRR7013850	Soil	Misc.	NA	NA
SRR7013851	Soil	Misc.	NA	NA
SRR7013852	Soil	Misc.	NA	NA
SRR7013853	Soil	Misc.	NA	NA
SRR7013854	Soil	Misc.	NA	NA
SRR7013855	Soil	Misc.	NA	NA
SRR7013858	Soil	Agricultural soil	NA	NA
SRR7013859	Soil	Agricultural soil	NA	NA
SRR7013860	Soil	Agricultural soil	NA	NA
SRR7013861	Soil	Agricultural soil	NA	NA
SRR7013862	Soil	Agricultural soil	NA	NA
SRR7013863	Soil	Agricultural soil	NA	NA
SRR7013864	Soil	Agricultural soil	NA	NA
SRR7013865	Soil	Agricultural soil	NA	NA
SRR7013866	Soil	Agricultural soil	NA	NA
SRR7013867	Soil	Agricultural soil	NA	NA
SRR7013868	Soil	Agricultural soil	NA	NA
SRR7013869	Soil	Agricultural soil	NA	NA
SRR7013870	Soil	Agricultural soil	NA	NA
SRR7013871	Soil	Agricultural soil	NA	NA
SRR7013872	Soil	Agricultural soil	NA	NA
SRR7013873	Soil	Agricultural soil	NA	NA
SRR7013874	Soil	Agricultural soil	NA	NA
SRR7013875	Soil	Agricultural soil	NA	NA
SRR7013876	Soil	Agricultural soil	NA	NA
SRR7013877	Soil	Agricultural soil	NA	NA
SRR7013878	Soil	Agricultural soil	NA	NA
SRR7013879	Soil	Agricultural soil	NA	NA
SRR7013880	Soil	Agricultural soil	NA	NA
SRR7013881	Soil	Agricultural soil	NA	NA
SRR7013882	Soil	Agricultural soil	NA	NA
SRR7013883	Soil	Agricultural soil	NA	NA
SRR7013884	Soil	Agricultural soil	NA	NA
SRR7013885	Soil	Agricultural soil	NA	NA
SRR7013886	Soil	Agricultural soil	NA	NA
SRR7013887	Soil	Agricultural soil	NA	NA
SRR7013888	Soil	Agricultural soil	NA	NA
SRR7013889	Soil	Agricultural soil	NA	NA
SRR7013890	Soil	Agricultural soil	NA	NA
SRR7013891	Soil	Agricultural soil	NA	NA
SRR7013892	Soil	Agricultural soil	NA	NA
SRR7013893	Soil	Agricultural soil	NA	NA
SRR7013894	Soil	Agricultural soil	NA	NA
SRR7013896	Soil	Agricultural soil	NA	NA
SRR7013897	Soil	Agricultural soil	NA	NA
SRR7013898	Soil	Agricultural soil	NA	NA
SRR7013899	Soil	Agricultural soil	NA	NA
SRR7013900	Soil	Agricultural soil	NA	NA
SRR7013901	Soil	Agricultural soil	NA	NA
SRR7013902	Soil	Agricultural soil	NA	NA
SRR7013903	Soil	Agricultural soil	NA	NA
SRR7013904	Soil	Agricultural soil	NA	NA
SRR7013905	Soil	Agricultural soil	NA	NA
SRR7013906	Soil	Agricultural soil	NA	NA
SRR7013907	Soil	Agricultural soil	NA	NA
SRR7013908	Soil	Agricultural soil	NA	NA
SRR7013909	Soil	Agricultural soil	NA	NA
SRR7013910	Soil	Agricultural soil	NA	NA
SRR7013911	Soil	Agricultural soil	NA	NA
SRR7013912	Soil	Agricultural soil	NA	NA
SRR7013913	Soil	Agricultural soil	NA	NA
SRR7013914	Soil	Agricultural soil	NA	NA
SRR7013915	Soil	Agricultural soil	NA	NA
SRR7013916	Soil	Agricultural soil	NA	NA
SRR7013917	Soil	Agricultural soil	NA	NA
SRR7013918	Soil	Agricultural soil	NA	NA
SRR7013919	Soil	Agricultural soil	NA	NA
SRR7013920	Soil	Agricultural soil	NA	NA
SRR7013921	Soil	Agricultural soil	NA	NA
SRR7013922	Soil	Agricultural soil	NA	NA
SRR7013923	Soil	Agricultural soil	NA	NA
SRR7013924	Soil	Agricultural soil	NA	NA
SRR7013925	Soil	Agricultural soil	NA	NA
SRR7013926	Soil	Agricultural soil	NA	NA
SRR7013927	Soil	Agricultural soil	NA	NA
SRR7013928	Soil	Agricultural soil	NA	NA
SRR7013929	Soil	Agricultural soil	NA	NA
SRR7091408	Rhizosphere	Rhizosphere	Vellozia epidendroides	https://gold.jgi.doe.gov/project?id=Gp0238804
SRR7091409	Rhizosphere	Rhizosphere	Vellozia epidendroides	https://gold.jgi.doe.gov/project?id=Gp0238805
SRR7091410	Rhizosphere	Rhizosphere	Vellozia epidendroides	https://gold.jgi.doe.gov/project?id=Gp0238806
SRR7186477	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186478	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186479	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186480	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186482	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186497	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186503	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186504	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186521	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186522	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186523	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186524	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186525	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7186526	Rhizosphere	Rhizosphere	Foxtail millet	NA
SRR7591305	Rhizosphere	Rhizosphere	Spruce	https://gold.jgi.doe.gov/project?id=Gp0256497
SRR7591449	Rhizosphere	Rhizosphere	Spruce	https://gold.jgi.doe.gov/project?id=Gp0256499
SRR7591450	Rhizosphere	Rhizosphere	Spruce	https://gold.jgi.doe.gov/project?id=Gp0256498
SRR7591534	Rhizosphere	Rhizosphere	Spruce	https://gold.jgi.doe.gov/project?id=Gp0267119
SRR7591549	Rhizosphere	Rhizosphere	Spruce	https://gold.jgi.doe.gov/project?id=Gp0256500
SRR7975588	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0177543
SRR7975607	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0177542
SRR7975608	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0177536
SRR7975684	Rhizosphere	Rhizosphere	Maize	https://gold.jgi.doe.gov/project?id=Gp0177538
SRR7975950	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0177544
SRR7975952	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0191378
SRR7975954	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0177546
SRR7975957	Rhizosphere	Rhizosphere	Switchgrass	https://gold.jgi.doe.gov/project?id=Gp0191380
SRR7976076	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215197
SRR7976077	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215199
SRR7976078	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215200
SRR7976139	Soil	Riparian zone	NA	https://gold.jgi.doe.gov/project?id=Gp0215204
SRR8527069	Soil	Agricultural soil	NA	NA
SRR8527070	Soil	Agricultural soil	NA	NA
SRR8527071	Soil	Agricultural soil	NA	NA
SRR8527072	Soil	Agricultural soil	NA	NA
SRR8527073	Soil	Agricultural soil	NA	NA
SRR8527074	Soil	Agricultural soil	NA	NA
SRR8527075	Soil	Agricultural soil	NA	NA
SRR8527076	Soil	Agricultural soil	NA	NA
SRR8527077	Soil	Agricultural soil	NA	NA
SRR908208	Rhizosphere	Rhizosphere	Cucumber	NA
SRR908211	Rhizosphere	Rhizosphere	Cucumber	NA
SRR908272	Rhizosphere	Rhizosphere	Cucumber	NA
SRR908273	Rhizosphere	Rhizosphere	Wheat	NA
SRR908275	Rhizosphere	Rhizosphere	Wheat	NA
SRR908276	Rhizosphere	Rhizosphere	Wheat	NA
SRR908279	Soil	Agricultural soil	NA	NA
SRR908281	Soil	Agricultural soil	NA	NA
SRR908290	Soil	Agricultural soil	NA	NA
SRR908291	Soil	Agricultural soil	NA	NA
wr1	Rhizosphere	Rhizosphere	Wheat	NA
wr2	Rhizosphere	Rhizosphere	Wheat	NA
wr3	Rhizosphere	Rhizosphere	Wheat	NA
wr4	Rhizosphere	Rhizosphere	Wheat	NA
wr5	Rhizosphere	Rhizosphere	Wheat	NA
