run_acc	sample_type	sample_subtype	organism	gold
SRR5195111	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195112	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195113	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195114	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195115	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195116	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195117	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195118	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195119	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195120	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195121	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195122	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195123	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195124	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195125	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195126	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195127	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195128	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195129	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195130	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195131	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195132	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195133	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195134	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195135	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195136	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195137	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195138	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195139	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195140	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195141	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195142	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195143	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195144	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195145	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195146	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195147	Rhizosphere	Rhizosphere	Citrus	NA
SRR5195148	Rhizosphere	Rhizosphere	Citrus	NA
SRR5215813	Soil	Forest	NA	https://gold.jgi.doe.gov/project?id=Gp0146735
SRR5234505	Rhizosphere	Rhizosphere	Acacia dealbata	NA
SRR5234506	Rhizosphere	Rhizosphere	Acacia dealbata	NA
SRR5234507	Rhizosphere	Rhizosphere	Acacia dealbata	NA
SRR5234508	Rhizosphere	Rhizosphere	Acacia dealbata	NA
SRR5234509	Rhizosphere	Rhizosphere	Acacia dealbata	NA
SRR5234510	Rhizosphere	Rhizosphere	Acacia dealbata	NA
SRR5234511	Rhizosphere	Rhizosphere	Acacia dealbata	NA
SRR5234512	Rhizosphere	Rhizosphere	Acacia dealbata	NA
SRR5247115	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0057573
SRR5247130	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0057736
SRR5247131	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0057736
SRR5247132	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0057736
SRR5247133	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0057736
SRR5248464	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0056916
SRR5248466	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0056915
SRR5248520	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0056936
SRR5248580	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0056938
SRR5248581	Rhizosphere	Rhizosphere	Silvergrass	https://gold.jgi.doe.gov/project?id=Gp0056937
SRR5256888	Rhizosphere	Rhizosphere	Tabebuia heterophylla	https://gold.jgi.doe.gov/project?id=Gp0072020
SRR5256985	Rhizosphere	Rhizosphere	Tabebuia heterophylla	https://gold.jgi.doe.gov/project?id=Gp0072021
SRR5256987	Rhizosphere	Rhizosphere	Tabebuia heterophylla	https://gold.jgi.doe.gov/project?id=Gp0072022
SRR5256988	Rhizosphere	Rhizosphere	Tabebuia heterophylla	https://gold.jgi.doe.gov/project?id=Gp0072023
SRR5259830	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116039
SRR5259831	Soil	Agricultural soil	NA	https://gold.jgi.doe.gov/project?id=Gp0116035
